model,layer,n_nulls_applied,pre_multiclass_class_acc,pre_binary_class_acc,pre_order_linear_acc,pre_order_mlp_acc,post_multiclass_class_acc,post_binary_class_acc,post_order_linear_acc,post_order_mlp_acc,binary_class_majority,order_majority,n_class_clips,n_passer,n_other_aves,n_mammalia
eat_all,5,10,0.6041666666666666,0.8731666666666666,0.78825,,0.4711666666666667,0.8453333333333334,0.656,,0.6666666666666666,0.75,600,100,300,200
eat_all,5,20,0.6041666666666666,0.8731666666666666,0.78825,,0.3516666666666667,0.731,0.62375,,0.6666666666666666,0.75,600,100,300,200
eat_all,5,40,0.6041666666666666,0.8731666666666666,0.78825,,0.3333333333333333,0.6666666666666666,0.6505,,0.6666666666666666,0.75,600,100,300,200
eat_all,5,80,0.6041666666666666,0.8731666666666666,0.78825,,0.3333333333333333,0.6666666666666666,0.67925,,0.6666666666666666,0.75,600,100,300,200
eat_all,7,10,0.6068333333333333,0.8863333333333333,0.746,,0.44316666666666665,0.8305,0.58575,,0.6666666666666666,0.75,600,100,300,200
eat_all,7,20,0.6068333333333333,0.8863333333333333,0.746,,0.3453333333333333,0.7033333333333334,0.56025,,0.6666666666666666,0.75,600,100,300,200
eat_all,7,40,0.6068333333333333,0.8863333333333333,0.746,,0.3333333333333333,0.6666666666666666,0.57825,,0.6666666666666666,0.75,600,100,300,200
eat_all,7,80,0.6068333333333333,0.8863333333333333,0.746,,0.3333333333333333,0.6666666666666666,0.6345,,0.6666666666666666,0.75,600,100,300,200
eat_all,9,10,0.5965,0.8586666666666667,0.75325,,0.44183333333333336,0.844,0.59775,,0.6666666666666666,0.75,600,100,300,200
eat_all,9,20,0.5965,0.8586666666666667,0.75325,,0.3595,0.7455,0.5855,,0.6666666666666666,0.75,600,100,300,200
eat_all,9,40,0.5965,0.8586666666666667,0.75325,,0.3333333333333333,0.6666666666666666,0.6005,,0.6666666666666666,0.75,600,100,300,200
eat_all,9,80,0.5965,0.8586666666666667,0.75325,,0.3333333333333333,0.6666666666666666,0.65475,,0.6666666666666666,0.75,600,100,300,200
eat_all,12,10,0.5176666666666667,0.853,0.741,,0.4026666666666667,0.8491666666666666,0.68925,,0.6666666666666666,0.75,600,100,300,200
eat_all,12,20,0.5176666666666667,0.853,0.741,,0.3413333333333333,0.723,0.698,,0.6666666666666666,0.75,600,100,300,200
eat_all,12,40,0.5176666666666667,0.853,0.741,,0.3333333333333333,0.6666666666666666,0.71275,,0.6666666666666666,0.75,600,100,300,200
eat_all,12,80,0.5176666666666667,0.853,0.741,,0.3333333333333333,0.6666666666666666,0.72775,,0.6666666666666666,0.75,600,100,300,200
